행정동명,평균공시지가,land_price_log
항동,1312275.5487269536,14.087274010364991
행당동,4627005.631274517,15.347420701057445
행촌동,2244748.251625373,14.624104380994147
현석동,3478155.821917808,15.062013062562952
현저동,1391550.7936507936,14.145930080707622
혜화동,4679430.246305419,15.358687131941418
홍은동,2342395.858477012,14.666685261592583
홍익동,4873459.076027647,15.399314730672424
홍제동,2980984.463227605,14.907764496173177
홍지동,2123267.960164835,14.568467421386837
홍파동,3111024.0,14.950462811848771
화곡동,3398457.824890759,15.038832600024039
화동,6377853.885135135,15.66834237388426
화양동,5713779.0469753295,15.558391367327951
황학동,6380976.869489496,15.66883191465602
회기동,3966526.869544704,15.193401677930371
회현동1가,9819970.593445526,16.099928787601975
회현동2가,6515571.792693288,15.689705683739097
회현동3가,8523416.41337386,15.958327923240537
효자동,4248508.821453775,15.26207884916927
효제동,7709125.328330207,15.857915422430002
효창동,5006886.85621446,15.426325093660509
후암동,4623005.909373654,15.346555897534172
훈정동,2562836.448598131,14.756625581016602
휘경동,3269001.6036600047,14.999995482175901
흑석동,4757342.07412316,15.375199892663215
흥인동,8148756.923076923,15.913376071526217
